Year,0-24,25-64,65+
2022,43.3,49.8,6.9
2023,42.7,50.2,7.1
2024,42.1,50.6,7.3
2025,41.5,51,7.6
2026,40.9,51.3,7.8
2027,40.2,51.7,8.1
2028,39.6,52,8.3
2029,39.1,52.4,8.6
2030,38.5,52.7,8.8
2031,38,52.9,9.1
2032,37.5,53.2,9.3
2033,37,53.4,9.6
2034,36.6,53.6,9.8
2035,36.1,53.8,10.1
2036,35.6,54,10.4
2037,35.2,54.1,10.7
2038,34.8,54.3,11
2039,34.4,54.3,11.3
2040,34,54.4,11.6
2041,33.7,54.5,11.9
2042,33.3,54.5,12.2
2043,33,54.5,12.5
2044,32.7,54.5,12.8
2045,32.4,54.5,13.1
2046,32.1,54.4,13.5
2047,31.8,54.3,13.8
2048,31.6,54.2,14.2
2049,31.3,54.1,14.6
2050,31,54,15
2051,30.7,53.9,15.4
2052,30.5,53.7,15.8
2053,30.2,53.6,16.2
2054,29.9,53.4,16.6
2055,29.7,53.3,17
2056,29.4,53.1,17.4
2057,29.2,53,17.9
2058,29,52.8,18.3
2059,28.7,52.6,18.7
2060,28.5,52.4,19.1
2061,28.3,52.2,19.5
2062,28.1,52,19.9
2063,27.9,51.8,20.3
2064,27.7,51.5,20.8
2065,27.5,51.3,21.2
2066,27.4,51,21.6
2067,27.2,50.8,22
2068,27,50.5,22.4
2069,26.9,50.3,22.8
2070,26.7,50,23.2
2071,26.6,49.8,23.6
2072,26.5,49.6,23.9
2073,26.3,49.4,24.3
2074,26.2,49.2,24.6
2075,26.1,49,24.9
2076,26,48.8,25.2
2077,25.9,48.6,25.5
2078,25.8,48.4,25.8
2079,25.7,48.2,26.1
2080,25.6,48.1,26.3
2081,25.5,48,26.6
2082,25.4,47.8,26.8
2083,25.3,47.7,27
2084,25.2,47.6,27.2
2085,25.1,47.5,27.4
2086,25,47.5,27.6
2087,24.9,47.4,27.7
2088,24.8,47.3,27.9
2089,24.7,47.3,28
2090,24.6,47.2,28.2
2091,24.5,47.1,28.4
2092,24.5,47,28.5
2093,24.4,46.9,28.7
2094,24.3,46.8,28.9
2095,24.2,46.7,29
2096,24.2,46.7,29.2
2097,24.1,46.6,29.3
2098,24,46.5,29.5
2099,24,46.4,29.7
2100,23.9,46.3,29.8